#blue
# id8    id7    id6
#
#
#  

item,loc,x,y,z
01,low,
02,mid,
03,hi,
04,lo,
05,mid,
06,hi,
07,low,
08,mid,
09,hi,
10,low,
11,mid,
12,hi,
13,low,
14,mid,
15,hi,
16,low,
17,mid,
18,hi,
19,low,
20,mid,
21,hi,
22,low,
23,mid,
24,hi,
25,low,
26,mid,
27,hi   
